,Market_Value24->,<-Distributions23,Market_Value22->,<-Distributions21,Market_Value20->,<-Distributions19,Market_Value18->,<-Distributions17,Market_Value16->,<-Distributions15,Market_Value14->,<-Distributions13,Market_Value12->,<-Distributions11,Market_Value10->,<-Distributions9,Market_Value8->,<-Distributions7,Market_Value6->,<-Distributions5,Market_Value4->,<-Distributions3,Market_Value2->,<-Distributions1
0,175000.0,0,537500.0,0,315000.0,0,153379.0,0,750000.0,0,72394.0,0,116904.0,0,50000.0,0,95000.0,0,186130.0,0,14734.0,0,139846.0,0
1,402500.0,0,687500.0,0,1074921.0,0,153379.0,0,1650000.0,0,25475.0,0,266672.0,0,148164.0,0,171670.0,0,242829.0,0,111310.0,0,146752.0,0
2,848750.0,0,772847.0,0,1074921.0,0,153379.0,0,2108449.0,0,182906.0,0,254524.0,0,248164.0,0,171670.0,0,438406.0,0,111310.0,0,182237.0,0
3,747288.0,70000,772847.0,0,771381.0,469881,335614.0,0,2108449.0,0,182906.0,0,562332.0,0,248164.0,0,171670.0,0,444606.0,0,210367.0,0,232125.0,0
4,747288.0,0,1117592.0,61079,1663881.0,0,501008.0,68391,2587290.0,329152,182906.0,0,587311.0,0,248164.0,75000,261670.0,0,651006.0,0,315333.0,0,283028.0,0
5,747288.0,0,1467592.0,0,1911502.0,0,447347.0,68391,3337290.0,0,176098.0,0,371325.0,295927,111350.0,0,327237.0,0,937236.0,44283,322867.0,0,335790.0,0
6,808538.0,61250,1900165.0,0,2891502.0,0,447347.0,0,3932722.0,0,176098.0,0,444325.0,0,111350.0,0,404737.0,0,939541.0,95270,404153.0,217993,425713.0,0
7,797166.0,44820,2312665.0,0,2891502.0,0,633992.0,0,4557722.0,0,409750.0,0,747401.0,0,116350.0,0,449001.0,50736,1293684.0,0,436111.0,0,475467.0,0
8,832166.0,0,2337665.0,0,2844012.0,48459,979320.0,0,4307722.0,250000,590670.0,0,802972.0,0,221350.0,0,539001.0,0,1365283.0,72609,640183.0,0,476853.0,0
9,1042166.0,0,1984797.0,957256,3069932.0,166883,1164750.0,229117,4682722.0,0,846332.0,0,1167755.0,0,496071.0,0,594655.0,15043,1371812.0,0,640183.0,0,531221.0,0
10,1094666.0,0,2545748.0,0,3104932.0,0,1164750.0,0,2514438.0,0,929894.0,139256,1462156.0,103501,496071.0,0,594655.0,0,1398277.0,0,542383.0,370167,577317.0,0
11,1471506.0,30775,2883248.0,0,2923636.0,355483,1349010.0,145354,2551938.0,0,929894.0,0,1857748.0,0,496071.0,0,802155.0,0,948500.0,0,970384.0,0,609235.0,0
12,1405951.0,67236,3108248.0,0,2923636.0,0,1720634.0,0,2551938.0,0,1166182.0,0,1857748.0,0,566071.0,0,802155.0,0,961027.0,0,970384.0,279586,841627.0,0
13,1685951.0,0,4245748.0,0,3314724.0,19080,2122819.0,0,2551938.0,0,1149899.0,0,1857748.0,0,592574.0,102002,868773.0,0,967515.0,0,947635.0,83745,837020.0,64438
14,1974701.0,0,4781006.0,473999,3349724.0,0,2146667.0,0,3128450.0,0,1163457.0,0,2065966.0,0,592574.0,0,927548.0,191404,967515.0,0,947635.0,0,870544.0,0
15,2145111.0,90385,4600417.0,218089,3338433.0,45163,2146667.0,0,3128450.0,112565,1163457.0,0,,,592574.0,0,927548.0,0,1468913.0,0,993544.0,0,886546.0,23829
16,2267611.0,0,4497133.0,414857,3389319.0,27040,2168775.0,0,3097199.0,62502,1433754.0,0,,,722574.0,0,960048.0,18115,1499139.0,0,993544.0,157718,1061072.0,0
17,2267611.0,0,4104399.0,668121,2732588.0,0,1501867.0,0,3097199.0,0,1634290.0,0,,,833369.0,93941,871323.0,261700,1507248.0,0,999302.0,0,1070405.0,0
18,2425111.0,0,4604888.0,0,2732588.0,0,1501867.0,0,4291712.0,280257,1530151.0,267024,,,830753.0,32702,819379.0,162635,1507248.0,0,991509.0,59775,1089059.0,0
19,2910339.0,0,,,2781922.0,18094,1501867.0,0,4194982.0,399389,1627894.0,0,,,838253.0,0,814106.0,25273,1830152.0,0,595893.0,0,1089059.0,0
20,3076589.0,0,,,2781922.0,0,1501867.0,0,4129401.0,68314,1960222.0,0,,,838253.0,0,836606.0,0,1830152.0,0,595893.0,0,1119275.0,0
21,2957829.0,215928,,,3394808.0,89817,1792882.0,0,4096108.0,33293,2134511.0,135385,,,859470.0,50115,905818.0,235217,1810936.0,51992,605702.0,0,,
22,3062829.0,0,,,3366672.0,112544,1792882.0,0,4119885.0,14163,2073150.0,83016,,,869470.0,0,905818.0,22215,1825063.0,0,605702.0,0,,
23,3351176.0,46315,,,3318446.0,166298,1783654.0,38980,4119885.0,0,2291983.0,37390,,,860538.0,20299,880910.0,88671,1811228.0,219125,831925.0,0,,
24,3347378.0,135051,,,3289749.0,130437,1817498.0,0,4038563.0,162644,2225839.0,157486,,,860538.0,107869,880910.0,0,1811228.0,0,858406.0,0,,
25,3156523.0,297072,,,3272609.0,431812,1769887.0,412868,4038563.0,0,2153821.0,0,,,807349.0,6986,815520.0,0,1811228.0,2406,858406.0,0,,
26,3081686.0,75310,,,3225244.0,294261,1717436.0,145698,4908108.0,521562,2241153.0,0,,,807349.0,0,,,1811228.0,0,858406.0,0,,
27,2676216.0,516088,,,3198591.0,166582,1696447.0,31414,4117583.0,1038975,2191947.0,111832,,,807349.0,0,,,2005212.0,0,766939.0,0,,
28,2676216.0,0,,,3198591.0,0,1696447.0,0,3915052.0,354964,2164893.0,57561,,,711622.0,101579,,,2005212.0,0,766939.0,0,,
29,2351390.0,536445,,,2618192.0,318891,1410667.0,132552,3861527.0,210971,2050310.0,1289536,,,668875.0,100565,,,2005212.0,0,719291.0,109159,,
30,2334031.0,87856,,,2608097.0,48070,1384090.0,75933,3247223.0,632482,1979406.0,128032,,,618411.0,63080,,,1804449.0,435280,613336.0,105955,,
31,2069807.0,332704,,,2550326.0,194431,1384090.0,0,3156319.0,410600,1849566.0,386549,,,593939.0,43700,,,1329827.0,135032,464469.0,0,,
32,2018172.0,74841,,,2381588.0,394463,1311422.0,84498,2886439.0,488838,1570400.0,996545,,,591880.0,20595,,,1329827.0,0,464469.0,0,,
33,1948144.0,297919,,,2035605.0,436504,1348214.0,202933,2849925.0,96088,1003779.0,137703,,,547789.0,60588,,,1329827.0,0,464469.0,4837,,
34,1913855.0,122856,,,1873105.0,367094,1180643.0,249500,2218013.0,371148,935470.0,273497,,,547789.0,0,,,1171869.0,355761,464469.0,0,,
35,1731411.0,216775,,,1760892.0,169129,1165254.0,54961,2070609.0,292353,817995.0,314999,,,512278.0,69735,,,613745.0,482762,630901.0,0,,
36,1620406.0,236549,,,1760892.0,0,1140461.0,29168,1997795.0,265864,797596.0,36721,,,502827.0,28279,,,480178.0,248970,630901.0,0,,
37,1496037.0,381626,,,1815048.0,184877,873284.0,150481,1726804.0,389167,588159.0,102738,,,430653.0,16860,,,480178.0,0,630901.0,0,,
38,1401186.0,182261,,,1815048.0,0,873284.0,0,1304384.0,0,565753.0,339487,,,287744.0,275640,,,480178.0,0,583972.0,91400,,
39,1311405.0,192475,,,1820977.0,165471,827018.0,112845,1281768.0,65337,565753.0,0,,,281415.0,51279,,,477844.0,140309,457814.0,55860,,
40,1311405.0,0,,,1795603.0,110321,813410.0,61852,1281768.0,0,565753.0,0,,,281415.0,9087,,,477844.0,0,457814.0,0,,
41,1286598.0,217834,,,1505068.0,151567,625445.0,0,1007315.0,356849,217360.0,0,,,55667.0,67073,,,402778.0,102742,457814.0,0,,
42,1286598.0,0,,,1458301.0,212577,625445.0,0,872926.0,0,,,,,55667.0,0,,,367670.0,464203,457814.0,0,,
43,1359366.0,0,,,1426682.0,175659,625445.0,0,872926.0,0,,,,,55667.0,0,,,2837.0,5442,436786.0,0,,
44,,,,,1311172.0,139169,625445.0,0,841442.0,41782,,,,,55667.0,0,,,2837.0,0,436786.0,0,,
45,,,,,818971.0,436334,566592.0,147849,820014.0,52804,,,,,47255.0,0,,,2837.0,1415,436786.0,0,,
46,,,,,660659.0,409796,548807.0,222318,778606.0,35174,,,,,,,,,2837.0,0,436786.0,0,,
47,,,,,568089.0,101893,548807.0,0,778606.0,0,,,,,,,,,597.0,2241,491496.0,87771,,
48,,,,,568089.0,0,369942.0,245020,762483.0,43076,,,,,,,,,,,491496.0,0,,
49,,,,,256065.0,0,106618.0,0,762483.0,0,,,,,,,,,,,317613.0,229801,,
50,,,,,256065.0,0,106618.0,0,648120.0,0,,,,,,,,,,,291458.0,330219,,
51,,,,,256065.0,0,106618.0,0,,,,,,,,,,,,,4123.0,8692,,
52,,,,,116614.0,139451,106618.0,0,,,,,,,,,,,,,4123.0,0,,
53,,,,,89584.0,39720,52567.0,40183,,,,,,,,,,,,,4123.0,2565,,
54,,,,,89584.0,0,52567.0,0,,,,,,,,,,,,,4123.0,0,,
55,,,,,89584.0,0,52567.0,0,,,,,,,,,,,,,896.0,3227,,
56,,,,,89584.0,0,52567.0,0,,,,,,,,,,,,,,,,
57,,,,,86715.0,0,51087.0,0,,,,,,,,,,,,,,,,
